Feature ID	Taxon	Confidence
#q2:types	categorical	categorical
M02808:184:000000000-LYVHM:1:1112:5736:9687;sample=SF1_B1_T0_Root_R1_001.fastq;	Bacteria;Bacillota;	0.9709109999954225
M02808:184:000000000-LYVHM:1:1112:4018:13665;sample=SF1_B1_T0_R1_001.fastq;	Bacteria;Bacillota;Clostridia;Eubacteriales;Clostridiaceae;Clostridium;	0.9604991332758083
M02808:184:000000000-LYVHM:1:1109:8887:15227;sample=SF1_B1_T0_Root_R1_001.fastq;	Bacteria;Bacillota;Clostridia;Eubacteriales;Clostridiaceae;Clostridium;	0.9850362534867979
M02808:184:000000000-LYVHM:1:1105:24855:15331;sample=SF1_B1_T0_R1_001.fastq;	Bacteria;Bacillota;Bacilli;Bacillales;Paenibacillaceae;Paenibacillus;	0.9960612229392035
M02808:184:000000000-LYVHM:1:2103:19169:25788;sample=SF1_B1_T0_Root_R1_001.fastq;	Bacteria;Bacillota	0.8599526075411432
M02808:184:000000000-LYVHM:1:1111:14149:23802;sample=SF1_B1_T0_R1_001.fastq;	Bacteria	0.7134707867008736
M02808:184:000000000-LYVHM:1:1104:6630:20858;sample=SF1_B1_T0_Root_R1_001.fastq;	Bacteria;Bacillota;	0.7068048878487513
M02808:184:000000000-LYVHM:1:2114:2889:20608;sample=SF1_B2_T4_R1_001.fastq;	Bacteria;Bacillota;Clostridia;Eubacteriales;Clostridiaceae;Clostridium;	0.9817301792259948
M02808:184:000000000-LYVHM:1:1110:17102:25225;sample=SF1_B1_T0_Root_R1_001.fastq;	Bacteria;Bacillota	0.9999570628550591
M02808:184:000000000-LYVHM:1:2107:18289:7556;sample=SF1_B2_T4_R1_001.fastq;	Bacteria;Bacillota;Clostridia;Eubacteriales;Clostridiaceae;Clostridium;	0.9900736552263351
M02808:184:000000000-LYVHM:1:1102:14791:8603;sample=SF1_B2_T0_R1_001.fastq;	Bacteria	0.830970075112059
M02808:184:000000000-LYVHM:1:2103:20115:12928;sample=SF1_B2_T0_Root_R1_001.fastq;	Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales	0.9981968803034241
M02808:184:000000000-LYVHM:1:1101:22998:15741;sample=SF1_B1_T0_Root_R1_001.fastq;	Bacteria;Bacillota;Bacilli;Bacillales;Paenibacillaceae;Paenibacillus;	0.8531863635505714
M02808:184:000000000-LYVHM:1:2104:18425:14356;sample=SF1_B2_T0_R1_001.fastq;	Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales	0.9359748915925106
M02808:184:000000000-LYVHM:1:2112:4718:20490;sample=SF1_B3_T4_Root_R1_001.fastq;	Bacteria;Bacillota;Negativicutes;Selenomonadales;Sporomusaceae;Pelosinus;	0.8791237197353989
M02808:184:000000000-LYVHM:1:1114:14509:9860;sample=SF1_B2_T0_R1_001.fastq;	Bacteria;Bacillota;Bacilli;Bacillales;Paenibacillaceae;Paenibacillus;	0.9999950629379784
M02808:184:000000000-LYVHM:1:1105:11649:25725;sample=SF1_B1_T4_Root_R1_001.fastq;	Bacteria	0.8256650988780379
M02808:184:000000000-LYVHM:1:1110:8948:22936;sample=SF1_B3_T0_Root_R1_001.fastq;	Bacteria;Bacillota;Negativicutes;Selenomonadales;Sporomusaceae;Pelosinus;	0.999983420867681
M02808:184:000000000-LYVHM:1:2105:7010:10341;sample=SF2_B2_T0_R1_001.fastq;	Bacteria;Bacillota;Clostridia;Eubacteriales;Clostridiaceae;Clostridium;	0.9903109840068611
M02808:184:000000000-LYVHM:1:2102:12751:25137;sample=SF1_B1_T0_Root_R1_001.fastq;	Bacteria;Thermodesulfobacteriota;Desulfuromonadia;Desulfuromonadales;Geobacteraceae;Geobacter;	0.7507608948262118
